Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
16064 Davidharvey;Amor Asteroid;57800;28.488;0.5891;45.393;1.048.206;3.355.829;1.898.019;11.707;4.53;4.81;0.204;76;16.7
16636 (1993 QP);Amor Asteroid;57800;23.111;0.4677;72.089;471.707;2.969.024;2.485.985;12.301;3.39;3.51;0.2418;122;18.7
16657 (1993 UB);Amor Asteroid;57800;22.756;0.4617;249.866;211.652;312.998;2.732.789;12.249;3.33;3.43;0.2512;36;16.6
16816 (1997 UF9);Apollo Asteroid;57800;14.424;0.6041;259.126;157.931;371.845;3.025.728;0.5711;2.31;1.73;0.3792;138;16.2
16834 (1997 WU22);Apollo Asteroid;57800;1.468;0.4421;159.878;334.299;2.608.035;1.359.063;0.8189;2.12;1.78;0.1452;360;15.7
16912 Rhiannon;Amor Asteroid;57800;17.515;0.2725;24.523;2.211.793;1.692.181;1.739.247;12.742;2.23;2.32;0.3226;40;17.9
16960 (1998 QS52);Apollo Asteroid (Hazard);57800;22.029;0.8579;175.489;2.429.301;2.604.997;1.838.059;0.313;4.09;3.27;0.0145;185;14.3
17181 (1999 UM3);Apollo Asteroid;57800;23.728;0.673;10.649;368.192;1.135.871;2.397.583;0.7758;3.97;3.66;0.0699;33;16.4
17182 (1999 VU);Apollo Asteroid;57800;1.387;0.5534;92.732;2.031.304;3.335.473;1.364.234;0.6195;2.15;1.63;0.1438;120;16.9
17188 (1999 WC2);Apollo Asteroid;57800;22.162;0.6369;29.447;2.872.371;2.698.435;557.919;0.8046;3.63;3.3;0.0639;75;16.5
17274 (2000 LC16);Amor Asteroid;57800;27.335;0.5543;55.791;211.347;3.059.761;2.390.349;12.183;4.25;4.52;0.21;109;16.6
17511 (1992 QN);Apollo Asteroid;57800;11.899;0.3589;9.584;2.023.614;3.559.422;446.974;0.7629;1.62;1.3;0.1322;129;17.1
18106 Blume;Amor Asteroid;57800;24.426;0.5127;42.207;2.349.381;1.092.553;1.103.695;11.902;3.69;3.82;0.1937;27;17.7
18109 (2000 NG11);Amor Asteroid;57800;1.881;0.3678;0.8092;3.191.969;594.942;1.278.675;11.892;2.57;2.58;0.192;129;17
18172 (2000 QL7);Amor Asteroid;57800;24.268;0.5098;178.266;100.703;3.385.749;912.842;11.896;3.66;3.78;0.3685;125;15.6
18736 (1998 NU);Amor Asteroid;57800;23.531;0.4882;28.064;2.228.204;2.975.516;1.545.527;12.043;3.5;3.61;0.2165;138;15.8
18882 (1999 YN4);Amor Asteroid;57800;16.852;0.2318;368.127;242.66;291.711;2.283.108;12.945;2.08;2.19;0.4316;127;15.9
19356 (1997 GH3);Amor Asteroid;57800;25.018;0.5632;30.048;3.338.939;1.866.993;181.775;10.927;3.91;3.96;0.1037;94;16.8
19764 (2000 NF5);Amor Asteroid;57800;22.332;0.4426;13.256;95.202;2.815.267;3.599.679;12.447;3.22;3.34;0.2288;179;15.9
20086 (1994 LW);Amor Asteroid;57800;31.839;0.6226;21.78;578.506;2.372.416;3.504.889;12.015;5.17;5.68;0.3194;65;16.8
20236 (1998 BZ7);Apollo Asteroid;57800;20.361;0.5591;65.002;1.041.848;111.525;1.726.738;0.8978;3.17;2.91;0.0524;29;17.6
20255 (1998 FX2);Amor Asteroid;57800;21.527;0.4911;99.489;175.562;1.809.753;3.505.667;10.954;3.21;3.16;0.1042;18;18.2
20425 (1998 VD35);Apollo Asteroid (Hazard);57800;15.645;0.4765;69.841;2.961.609;227.374;627.068;0.819;2.31;1.96;0.0033;29;20.4
20429 (1998 YN1);Apollo Asteroid;57800;1.556;0.4642;62.995;1.475.903;617.733;608.069;0.8337;2.28;1.94;0.0563;69;17.7
20460 Robwhiteley;Amor Asteroid;57800;18.768;0.4123;339.395;283.649;2.800.898;3.501.618;1.103;2.65;2.57;0.3298;147;15.2
20790 (2000 SE45);Amor Asteroid;57800;27.395;0.5614;83.368;1.688.504;3.029.892;1.936.356;12.015;4.28;4.53;0.2198;99;16.4
20826 (2000 UV13);Apollo Asteroid;57800;2.424;0.6331;318.854;1.986.024;3.473.645;814.769;0.8895;3.96;3.77;0.0819;238;13.9
21088 Chelyabinsk;Amor Asteroid;57800;17.066;0.2384;384.547;271.147;2.978.604;2.305.117;12.997;2.11;2.23;0.309;405;14.3
21277 (1996 TO5);Amor Asteroid;57800;23.776;0.5201;209.517;2.501.675;1.674.149;1.738.259;11.411;3.61;3.67;0.3147;97;16
21374 (1997 WS22);Amor Asteroid;57800;12.695;0.1206;23.981;1.971.912;592.205;3.197.323;11.164;1.42;1.43;0.1094;138;17.4
22099 (2000 EX106);Apollo Asteroid;57800;11.044;0.2763;9.845;1.865.768;1.364.671;1.024.257;0.7993;1.41;1.16;0.1678;162;17.9
22753 (1998 WT);Apollo Asteroid (Hazard);57800;12.188;0.5698;32.043;3.247.139;3.074.423;2.747.886;0.5243;1.91;1.35;0.0336;189;17.7
22771 (1999 CU3);Apollo Asteroid;57800;15.765;0.524;114.037;3.057.151;3.390.078;302.61;0.7505;2.4;1.98;0.0624;364;16.8
23183 (2000 OY21);Amor Asteroid;57800;1.824;0.4012;409.575;3.014.253;1.196.878;1.989.659;10.921;2.56;2.46;0.2565;167;16
23187 (2000 PN9);Apollo Asteroid (Hazard);57800;18.467;0.5895;513.144;2.935.402;1.643.574;1.478.697;0.7582;2.94;2.51;0.0144;274;16.1
23548 (1994 EF2);Amor Asteroid;57800;22.923;0.5163;233.638;1.238.602;346.188;2.376.076;11.089;3.48;3.47;0.2466;31;17.6
23606 (1996 AS1);Amor Asteroid;57800;17.501;0.3611;143.596;3.575.145;2.966.627;238.418;11.182;2.38;2.32;0.1029;55;18.2
23714 (1998 EC3);Amor Asteroid;57800;21.279;0.5167;83.965;1.289.107;1.278.773;3.560.539;10.285;3.23;3.1;0.081;43;16.7
24443 (2000 OG);Apollo Asteroid;57800;23.097;0.8225;257.943;2.310.756;1.782.317;2.415.092;0.4101;4.21;3.51;0.1516;78;16.4
24445 (2000 PM8);Apollo Asteroid;57800;2.211;0.5449;23.855;2.186.717;2.033.621;0.5025;10.063;3.42;3.29;0.0834;303;14.7
24475 (2000 VN2);Amor Asteroid;57800;1.975;0.4415;146.361;326.364;764.837;299.411;11.031;2.85;2.78;0.152;174;16.3
24761 Ahau;Apollo Asteroid;57800;13.349;0.306;219.201;2.874.843;121.084;256.666;0.9264;1.74;1.54;0.1009;114;17.3
25143 Itokawa;Apollo Asteroid (Hazard);57800;13.242;0.2801;16.215;1.628.035;690.799;131.434;0.9532;1.7;1.52;0.0129;183;19.2
25330 (1999 KV4);Apollo Asteroid;57800;15.403;0.3708;143.292;859.884;506.119;125.786;0.9692;2.11;1.91;0.1731;106;16.6
25916 (2001 CP44);Amor Asteroid;57800;25.602;0.4981;15.747;1.996.986;947.223;232.896;1.285;3.84;4.1;0.2802;275;13.6
26166 (1995 QN3);Amor Asteroid;57800;33.004;0.645;147.948;62.782;1.857.634;2.310.057;11.717;5.43;6;0.2703;56;16.8
26310 (1998 TX6);Amor Asteroid;57800;21.403;0.4683;5.376;988.333;2.108.999;3.425.575;11.379;3.14;3.13;0.1589;25;19.1
26379 (1999 HZ1);Apollo Asteroid;57800;16.059;0.5761;8.687;2.004.766;252.179;3.239.931;0.6808;2.53;2.04;0.1307;23;18
26663 (2000 XK47);Apollo Asteroid (Hazard);57800;15.458;0.4718;135.388;2.310.943;3.037.002;1.130.497;0.8164;2.28;1.92;0.0353;33;18.1
26760 (2001 KP41);Amor Asteroid;57800;28.532;0.5572;110.124;1.551.511;1.462.665;761.054;12.634;4.44;4.82;0.2611;180;15.4
26817 (1987 QB);Amor Asteroid;57800;28.019;0.5941;34.965;1.565.129;1.532.185;108.627;11.374;4.47;4.69;0.126;33;19.2
27002 (1998 DV9);Apollo Asteroid (Hazard);57800;17.437;0.4334;8.697;0.7581;1.303.907;852.555;0.9879;2.5;2.3;0.0029;71;18.2
27031 (1998 RO4);Amor Asteroid;57800;21.398;0.4249;53.545;1.117.577;1.919.049;3.409.723;12.306;3.05;3.13;0.2364;51;17.9
27346 (2000 DN8);Amor Asteroid;57800;1.875;0.3991;36.943;269.229;1.352.612;3.003.681;11.266;2.62;2.57;0.4439;155;15.9
29075 (1950 DA);Apollo Asteroid (Hazard);55394;16.992;0.5074;121.816;2.245.354;3.567.761;654.461;0.837;2.56;2.21;0.0404;141;17.1
30825 (1990 TG1);Apollo Asteroid;57800;24.371;0.681;87.412;336.461;2.050.584;349.033;0.7774;4.1;3.8;0.0697;227;14.8
30997 (1995 UO5);Apollo Asteroid;57800;15.601;0.6435;36.219;1.510.822;386.732;2.299.781;0.5562;2.56;1.95;0.4031;51;17
31210 (1998 BX7);Amor Asteroid;57800;26.038;0.5024;89.573;2.714.856;1.449.314;2.206.309;12.957;3.91;4.2;0.355;94;16.4
31221 (1998 BP26);Amor Asteroid;57800;17.231;0.257;202.207;1.866.648;331.062;1.450.201;12.803;2.17;2.26;0.2922;155;17.2
31345 (1998 PG);Amor Asteroid;57800;20.161;0.3912;64.958;1.560.269;2.227.568;1.466.434;12.274;2.8;2.86;0.2358;49;17.3
31346 (1998 PB1);Amor Asteroid;57800;20.294;0.4298;59.628;3.504.844;2.997.542;1.539.252;11.571;2.9;2.89;0.1423;73;17.2
31662 (1999 HP11);Apollo Asteroid;57800;15.978;0.5479;188.144;3.119.952;139.738;2.323.051;0.7223;2.47;2.02;0.1238;21;19.5
31669 (1999 JT6);Apollo Asteroid (Hazard);57800;21.372;0.5772;95.402;391.119;788.331;2.935.479;0.9037;3.37;3.12;0.0002;70;15.9
32906 (1994 RH);Amor Asteroid;57800;22.461;0.4414;189.327;923.102;3.312.512;2.034.603;12.546;3.24;3.37;0.4503;145;15.8
33342 (1998 WT24);Aten Asteroid (Hazard);55098;0.7185;0.4179;73.419;1.672.951;81.999;1.264.682;0.4182;1.02;0.61;0.01;166;17.9
34613 (2000 UR13);Amor Asteroid;57800;2.069;0.3875;61.757;2.861.587;3.153.168;2.930.925;12.673;2.87;2.98;0.2798;155;16
35107 (1991 VH);Apollo Asteroid (Hazard);57800;11.374;0.1443;13.911;2.069.524;1.393.664;3.453.378;0.9733;1.3;1.21;0.0252;336;16.7
35396 (1997 XF11);Apollo Asteroid (Hazard);57800;14.427;0.4839;40.984;1.029.225;2.137.585;1.193.043;0.7445;2.14;1.73;0.0007;268;16.9
35432 (1998 BG9);Amor Asteroid;57800;25.102;0.5404;130.762;13.266;1.154.427;2.838.345;11.538;3.87;3.98;0.1703;46;19.3
35670 (1998 SU27);Apollo Asteroid;57800;21.241;0.5943;71.059;1.695.567;2.714.725;3.185.305;0.8618;3.39;3.1;0.0699;23;19.3
36017 (1999 ND43);Amor Asteroid;57800;15.234;0.3144;55.515;520.135;3.321.346;831.128;10.444;2;1.88;0.0788;117;19.2
36183 (1999 TX16);Amor Asteroid;57800;15.513;0.3327;382.216;3.111.765;546.692;201.691;10.352;2.07;1.93;0.1354;120;16.2
36236 (1999 VV);Apollo Asteroid;57800;13.325;0.4236;58.041;197.538;2.410.808;2.063.265;0.768;1.9;1.54;0.2288;136;15.9
36284 (2000 DM8);Apollo Asteroid;57800;14.837;0.5537;467.607;3.179.427;3.231.829;416.937;0.6622;2.31;1.81;0.2667;180;14.9
37336 (2001 RM);Amor Asteroid;57800;22.538;0.4838;366.446;1.179.586;2.236.988;2.137.678;11.635;3.34;3.38;0.3519;156;15.6
37638 (1993 VB);Apollo Asteroid (Hazard);57800;19.098;0.5192;5.078;3.230.518;1.456.768;2.715.654;0.9182;2.9;2.64;0.0007;24;19.3
37655 Illapa;Apollo Asteroid (Hazard);57800;14.778;0.7524;180.017;3.037.205;1.396.909;1.589.209;0.3659;2.59;1.8;0.0241;74;17.9
38071 (1999 GU3);Amor Asteroid (Hazard);57800;20.899;0.5069;127.307;88.138;1.955.346;3.285.958;10.305;3.15;3.02;0.0328;49;19.6
38086 Beowolf;Apollo Asteroid;57800;14.201;0.5664;236.767;1.789.367;1.653.463;1.262.134;0.6158;2.22;1.69;0.3846;99;17.4
38091 (1999 JT3);Amor Asteroid;57800;21.696;0.4011;93.326;2.250.746;648.543;1.630.462;12.995;3.04;3.2;0.3082;73;16.2
38239 (1999 OR3);Apollo Asteroid;57800;20.352;0.576;94.419;280.372;1.999.761;396.038;0.863;3.21;2.9;0.0559;33;18.2
39565 (1992 SL);Amor Asteroid;57800;16.423;0.3342;85.994;3.447.337;0.9835;2.244.586;10.934;2.19;2.1;0.0936;80;18.4
39572 (1993 DQ1);Amor Asteroid (Hazard);57800;2.037;0.492;100.201;3.447.895;3.135.686;3.365.139;10.349;3.04;2.91;0.0301;139;16.5
39796 (1997 TD);Amor Asteroid;57800;22.514;0.4677;129.139;1.709.096;158.976;2.728.188;11.983;3.3;3.38;0.191;137;15.8
40263 (1999 FQ5);Amor Asteroid;57800;14.948;0.1611;258.467;1.986.546;172.837;818.806;12.539;1.74;1.83;0.2578;104;17.7
40267 (1999 GJ4);Apollo Asteroid;57800;13.386;0.8085;345.147;2.119.049;148.262;548.876;0.2564;2.42;1.55;0.1568;282;15.4
40329 (1999 ML);Amor Asteroid;57800;2.266;0.4543;2.521;1.120.244;2.109.651;510.406;12.365;3.3;3.41;0.2292;81;17.7
41429 (2000 GE2);Apollo Asteroid (Hazard);57800;15.926;0.5552;21.731;2.971.872;3.519.673;1.099.002;0.7084;2.48;2.01;0.0108;67;20.6
41440 (2000 HZ23);Amor Asteroid;57800;15.756;0.2113;15.107;2.000.517;640.717;149.729;12.426;1.91;1.98;0.237;23;19.9
42286 (2001 TN41);Apollo Asteroid;57800;14.196;0.3919;240.727;1.508.856;558.575;2.769.367;0.8633;1.98;1.69;0.1101;131;16.5
48603 (1995 BC2);Amor Asteroid;57800;19.182;0.4298;50.249;816.762;3.283.521;1.437.441;10.938;2.74;2.66;0.1375;88;17.6
52340 (1992 SY);Apollo Asteroid;57800;22.093;0.5501;80.468;1.154.863;58.204;1.004.114;0.994;3.42;3.28;0.0974;87;17.8
52381 (1993 HA);Amor Asteroid;57800;12.783;0.1441;77.254;2.638.217;1.832.883;2.896.718;10.941;1.46;1.45;0.1689;82;20
52387 (1993 OM7);Amor Asteroid;57800;12.823;0.1897;241.506;1.954.977;2.976.019;2.435.319;1.039;1.53;1.45;0.0611;111;17.8
52689 (1998 FF2);Amor Asteroid;57800;15.617;0.2923;109.834;2.650.837;47.117;1.894.674;11.052;2.02;1.95;0.2114;47;18.9
52750 (1998 KK17);Apollo Asteroid;57800;14.272;0.5249;111.641;3.340.754;1.413.748;480.583;0.678;2.18;1.7;0.162;159;16.5
52760 (1998 ML14);Apollo Asteroid (Hazard);57800;24.086;0.6234;24.274;203.245;3.387.251;3.288.256;0.9071;3.91;3.74;0.0166;134;17.5
52761 (1998 MN14);Amor Asteroid;57800;15.546;0.2242;194.816;3.504.142;2.590.047;2.378.019;12.061;1.9;1.94;0.1938;53;17.9
52762 (1998 MT24);Apollo Asteroid;57800;24.182;0.6515;338.951;2.543.544;3.092.172;152.289;0.8426;3.99;3.76;0.1411;92;14.8
52768 (1998 OR2);Apollo Asteroid (Hazard);57800;23.794;0.5728;58.797;1.744.314;270.631;501.236;10.165;3.74;3.67;0.0142;136;15.9
53110 (1999 AR7);Amor Asteroid;57800;16.444;0.2144;406.267;582.204;854.515;1.668.648;12.919;2;2.11;0.4103;168;16.8
53319 (1999 JM8);Apollo Asteroid (Hazard);57800;27.263;0.6411;138.287;1.667.562;1.336.496;3.352.191;0.9784;4.47;4.5;0.0227;126;15.2
53409 (1999 LU7);Apollo Asteroid;57800;21.024;0.628;108.682;1.476.918;2.067.287;2.586.312;0.7821;3.42;3.05;0.0861;31;18.7
53426 (1999 SL5);Apollo Asteroid (Hazard);57800;19.227;0.5384;227.771;432.984;239.108;2.131.479;0.8874;2.96;2.67;0.0251;142;17.2
53429 (1999 TF5);Apollo Asteroid (Hazard);57800;20.229;0.6398;267.941;640.043;1.992.643;423.016;0.7286;3.32;2.88;0.0477;19;18.9
53430 (1999 TY16);Amor Asteroid;57800;20.982;0.404;604.303;1.569.297;2.419.336;2.625.709;12.504;2.95;3.04;0.2901;103;16.7
53435 (1999 VM40);Amor Asteroid;57800;23.094;0.4854;153.863;3.542.294;514.269;3.443.071;11.884;3.43;3.51;0.2001;240;14.7
53550 (2000 BF19);Apollo Asteroid (Hazard);57800;14.954;0.4195;71.745;3.248.667;3.132.332;3.581.389;0.8681;2.12;1.83;0.0455;67;19
53789 (2000 ED104);Apollo Asteroid (Hazard);57800;13.705;0.2691;407.909;2.183.102;1.900.439;3.170.812;10.017;1.74;1.6;0.0491;131;17.4
54071 (2000 GQ146);Amor Asteroid;57800;13.294;0.1975;234.429;1.282.724;363.673;321.682;10.668;1.59;1.53;0.1255;123;17.2
54401 (2000 LM);Amor Asteroid;57800;17.107;0.2624;189.507;670.782;2.408.754;1.436.183;12.618;2.16;2.24;0.3551;82;17.1
54509 YORP;Apollo Asteroid;52718;10.001;0.2299;18.331;2.741.013;2.818.867;3.141.326;0.7701;1.23;1;0.0027;84;22.7
54660 (2000 UJ1);Amor Asteroid;57800;14.769;0.281;466.896;1.579.722;223.725;296.236;10.619;1.89;1.79;0.0881;71;18
54686 (2001 DU8);Amor Asteroid;57800;17.768;0.3418;332.086;265.853;1.617.545;3.221.202;11.695;2.38;2.37;0.4343;123;16.5
54690 (2001 EB);Amor Asteroid;57800;16.295;0.2564;353.638;995.966;335.503;268.318;12.117;2.05;2.08;0.4127;101;17.1
54789 (2001 MZ7);Amor Asteroid;57800;17.761;0.2872;244.639;19.986;1.301.023;3.395.901;12.661;2.29;2.37;0.2928;378;15
55408 (2001 TC2);Apollo Asteroid;57800;1.1;0.2247;303.898;3.535.295;1.938.482;3.338.102;0.8528;1.35;1.15;0.1463;47;18.6
55532 (2001 WG2);Apollo Asteroid;57800;17.945;0.6958;385.063;1.323.197;814.942;662.245;0.546;3.04;2.4;0.3374;107;16
65674 (1988 SM);Amor Asteroid;57800;16.645;0.344;109.507;3.132.673;0.9008;997.003;10.919;2.24;2.15;0.1334;66;18.2
65679 (1989 UQ);Aten Asteroid (Hazard);57800;0.9151;0.2647;12.997;149.062;1.782.356;2.820.929;0.6728;1.16;0.88;0.0141;77;19.4
65690 (1991 DG);Apollo Asteroid (Hazard);57800;14.273;0.363;111.502;632.981;1.801.672;343.277;0.9092;1.95;1.71;0.0388;63;19.1
65706 (1992 NA);Amor Asteroid;57800;24.004;0.5557;96.668;84.437;3.493.351;2.140.243;10.664;3.73;3.72;0.0641;64;16.5
65717 (1993 BX3);Apollo Asteroid (Hazard);57800;13.948;0.2807;27.909;2.899.816;1.755.589;2.299.622;10.033;1.79;1.65;0.0479;34;20.8
65733 (1993 PC);Apollo Asteroid;57800;11.535;0.4741;41.595;1.684.422;3.372.052;1.696.212;0.6066;1.7;1.24;0.066;91;18.4
65803 Didymos;Apollo Asteroid (Hazard);57800;16.446;0.3838;34.077;3.192.516;732.219;1.107.962;10.133;2.28;2.11;0.0407;120;18
65909 (1998 FH12);Apollo Asteroid (Hazard);57800;1.091;0.5398;35.596;2.844.527;1.086.354;295.534;0.5021;1.68;1.14;0.0129;78;19.2
65996 (1998 MX5);Amor Asteroid;57800;29.371;0.605;95.485;569.704;2.655.093;2.557.333;11.602;4.71;5.03;0.2014;95;18.4
66008 (1998 QH2);Apollo Asteroid;57800;14.262;0.3627;610.118;139.583;1.689.421;899.532;0.909;1.94;1.7;0.0766;159;16
66063 (1998 RO1);Aten Asteroid;57800;0.9909;0.7201;226.797;1.511.335;3.518.748;1.491.422;0.2774;1.7;0.99;0.0923;119;18.1
66146 (1998 TU3);Aten Asteroid;57800;0.7871;0.4838;54.127;846.817;1.021.977;2.405.165;0.4063;1.17;0.7;0.0732;168;14.6
66251 (1999 GJ2);Amor Asteroid;57800;15.355;0.1981;112.794;1.425.054;1.962.217;148.656;12.314;1.84;1.9;0.2487;212;16.9
66253 (1999 GT3);Apollo Asteroid;57800;13.339;0.8378;195.101;2.608.933;1.575.758;252.274;0.2163;2.45;1.54;0.193;33;18.3
66272 (1999 JW6);Amor Asteroid;57800;15.076;0.1432;513.135;684.641;663.958;2.923.328;12.917;1.72;1.85;0.4103;65;17.1
66391 (1999 KW4);Aten Asteroid (Hazard);57800;0.6423;0.6885;388.838;1.926.192;244.916;3.360.257;0.2001;1.08;0.51;0.0134;153;16.5
66400 (1999 LT7);Aten Asteroid;54783;0.8552;0.5725;90.649;3.412.898;79.915;199.588;0.3656;1.34;0.79;0.059;61;19.3
66407 (1999 LQ28);Amor Asteroid;57800;11.984;0.12;217.703;3.205.012;950.092;242.208;10.546;1.34;1.31;0.0962;68;18.9
66959 (1999 XO35);Amor Asteroid;57800;25.368;0.5684;205.594;2.931.287;822.291;1.104.929;10.949;3.98;4.04;0.2705;95;16.6
67367 (2000 LY27);Amor Asteroid (Hazard);57800;13.085;0.2127;90.235;1.847.737;2.645.439;2.052.795;10.301;1.59;1.5;0.0471;87;17
67381 (2000 OL8);Apollo Asteroid (Hazard);57800;13.204;0.543;106.663;2.667.792;2.949.732;194.468;0.6034;2.04;1.52;0.0173;50;19.8
67399 (2000 PJ6);Apollo Asteroid;57800;13.011;0.3461;146.936;225.249;3.329.021;1.469.268;0.8507;1.75;1.48;0.0517;62;18.2
68031 (2000 YK29);Amor Asteroid;57800;13.764;0.1285;151.721;318.659;1.236.628;3.069.146;11.996;1.55;1.61;0.2295;131;18.1
68063 (2000 YJ66);Amor Asteroid;57800;23.342;0.4573;57.194;502.399;3.089.078;2.538.848;12.667;3.4;3.57;0.2759;154;15.5
68216 (2001 CV26);Apollo Asteroid (Hazard);57800;13.195;0.3265;179.982;486.673;181.778;2.815.745;0.8887;1.75;1.52;0.0235;334;16.5
68267 (2001 EA16);Apollo Asteroid;57800;15.096;0.4275;388.272;3.174.129;80.252;1.155.079;0.8642;2.15;1.85;0.058;103;16.8
68278 (2001 FC7);Amor Asteroid;57800;14.358;0.1145;26.204;2.345.047;991.201;3.040.169;12.714;1.6;1.72;0.2641;171;18.5
68346 (2001 KZ66);Apollo Asteroid (Hazard);57800;15.073;0.4168;166.936;1.402.331;2.193.993;827.255;0.879;2.14;1.85;0.0381;183;16.9
68347 (2001 KB67);Aten Asteroid (Hazard);57800;0.9629;0.3798;171.379;2.438.713;2.459.219;308.411;0.5972;1.33;0.94;0.0141;33;19.9
68348 (2001 LO7);Apollo Asteroid;57800;21.517;0.8425;254.732;1.815.564;2.362.704;260.286;0.339;3.96;3.16;0.3859;144;14.3
68350 (2001 MK3);Amor Asteroid;57800;16.697;0.2475;295.627;3.284.483;1.288.831;289.53;12.565;2.08;2.16;0.3027;153;15.9
68359 (2001 OZ13);Amor Asteroid;57800;15.175;0.1742;9.856;291.123;992.465;2.964.719;12.531;1.78;1.87;0.2793;134;17.9
68372 (2001 PM9);Apollo Asteroid (Hazard);57800;16.181;0.4157;81.005;3.222.049;2.530.424;2.573.287;0.9454;2.29;2.06;0.004;86;18.8
68548 (2001 XR31);Apollo Asteroid (Hazard);57800;17.067;0.4365;227.167;24.705;3.020.643;288.421;0.9617;2.45;2.23;0.0245;90;16.5
68950 (2002 QF15);Apollo Asteroid (Hazard);57800;10.568;0.3442;251.548;2.555.243;2.362.423;350.019;0.6931;1.42;1.09;0.0063;248;16.4
69230 Hermes;Apollo Asteroid (Hazard);57800;16.549;0.6239;60.679;927.499;342.213;632.181;0.6223;2.69;2.13;0.0043;92;17.5
85182 (1991 AQ);Apollo Asteroid (Hazard);57800;22.216;0.7768;31.279;2.429.391;3.396.898;3.058.576;0.496;3.95;3.31;0.0166;82;17.1
85184 (1991 JG1);Amor Asteroid;57800;13.741;0.1847;338.783;3.227.157;2.264.089;270.669;11.203;1.63;1.61;0.1463;56;18.4
85236 (1993 KH);Apollo Asteroid (Hazard);57800;1.234;0.3112;128.048;2.938.535;54.4;38.892;0.8499;1.62;1.37;0.0012;77;18.6
85275 (1994 LY);Amor Asteroid;57800;18.907;0.4418;177.195;2.027.844;1.411.992;2.263.377;10.554;2.73;2.6;0.0653;173;16.2
85490 (1997 SE5);Amor Asteroid;57800;37.444;0.6683;24.833;912.081;2.510.957;257.59;12.422;6.25;7.25;0.2396;80;14.7
85585 Mjolnir;Apollo Asteroid (Hazard);57800;12.975;0.3562;40.833;953.429;23.643;3.303.995;0.8354;1.76;1.48;0.0215;30;21.6
85628 (1998 KV2);Amor Asteroid;57800;1.593;0.3317;130.293;504.765;667.985;2.090.811;10.646;2.12;2.01;0.1436;268;17.1
85640 (1998 OX4);Apollo Asteroid (Hazard);57800;15.804;0.4857;45.129;1.171.145;2.997.043;662.199;0.8128;2.35;1.99;0.0011;61;21.1
85709 (1998 SG36);Amor Asteroid;57800;16.459;0.3376;248.404;297.081;1.866.049;352.066;10.902;2.2;2.11;0.1229;274;15.9
85713 (1998 SS49);Apollo Asteroid (Hazard);57800;19.239;0.6393;107.643;1.024.651;41.494;2.858.737;0.6939;3.15;2.67;0.0027;143;15.6
85770 (1998 UP1);Aten Asteroid;57800;0.9982;0.3451;331.804;2.342.541;183.546;2.291.565;0.6537;1.34;1;0.0851;94;20.5
85774 (1998 UT18);Apollo Asteroid (Hazard);55187;14.038;0.3291;135.886;50.015;647.103;2.092.175;0.9417;1.87;1.66;0.0357;137;19.2
85804 (1998 WQ5);Amor Asteroid;57800;17.212;0.3544;276.625;2.697.776;2.857.621;2.891.653;11.112;2.33;2.26;0.3725;253;15.3
85818 (1998 XM4);Apollo Asteroid;57800;16.566;0.4167;627.158;3.012.658;2.356.589;92.176;0.9663;2.35;2.13;0.1086;148;15.5
85839 (1998 YO4);Amor Asteroid;57800;16.536;0.2481;93.236;199.515;285.513;540.731;12.433;2.06;2.13;0.2405;208;16.4
85867 (1999 BY9);Amor Asteroid;57800;18.299;0.3024;0.9438;2.874.047;2.544.204;694.232;12.766;2.38;2.48;0.2801;139;18.1
85938 (1999 DJ4);Apollo Asteroid (Hazard);57800;1.853;0.4837;91.461;1.976.085;199.168;283.123;0.9568;2.75;2.52;0.0233;110;18.6
85953 (1999 FK21);Aten Asteroid;55097;0.7388;0.7032;126.015;1.723.327;1.805.375;960.996;0.2193;1.26;0.64;0.0703;163;18.1
85989 (1999 JD6);Aten Asteroid (Hazard);57800;0.883;0.6328;170.563;3.091.878;1.302.059;2.529.392;0.3242;1.44;0.83;0.0478;288;17.1
85990 (1999 JV6);Apollo Asteroid (Hazard);56159;10.081;0.3114;53.191;2.353.411;1.245.497;3.069.399;0.6942;1.32;1.01;0.0312;227;20.2
86039 (1999 NC43);Apollo Asteroid (Hazard);57800;17.596;0.5791;71.225;1.205.897;3.117.875;1.152.446;0.7406;2.78;2.33;0.0245;171;16
86067 (1999 RM28);Amor Asteroid;57800;18.171;0.3236;305.406;3.018.047;1.361.014;3.463.176;12.291;2.41;2.45;0.3644;142;16.4
86324 (1999 WA2);Amor Asteroid;57800;19.667;0.4344;346.026;752.541;2.937.345;1.401.982;11.124;2.82;2.76;0.3427;128;15.7
86326 (1999 WK13);Amor Asteroid;57800;18.442;0.3631;343.035;312.505;784.793;3.283.586;11.746;2.51;2.5;0.2793;82;17.3
86450 (2000 CK33);Aten Asteroid;57800;0.9681;0.4149;181.066;2.155.941;1.248.765;586.496;0.5664;1.37;0.95;0.1254;82;18.2
86666 (2000 FL10);Apollo Asteroid;57800;1.463;0.4269;290.155;2.588.152;1.869.704;2.418.088;0.8385;2.09;1.77;0.0821;194;16.9
