Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
(2014 WX4);Apollo Asteroid;57800;18.676;0.4683;0.9205;3.306.044;672.333;3.228.189;0.993;2.74;2.55;0.0074;3;26.4
(2014 WY4);Amor Asteroid;57800;1.108;0.0696;170.283;3.416.913;579.679;3.480.382;10.309;1.19;1.17;0.0467;3;24
(2014 WZ4);Amor Asteroid;57800;14.715;0.287;181.829;10.451;494.458;953.167;10.492;1.89;1.78;0.0601;6;23.5
(2014 WA5);Apollo Asteroid;57800;12.423;0.5647;118.542;2.880.465;2.394.183;1.783.201;0.5408;1.94;1.38;0.0117;5;23.4
(2014 WC5);Aten Asteroid;57800;0.9084;0.1811;67.204;1.506.101;59.508;684.019;0.7439;1.07;0.87;0.039;6;24.7
(2014 WD6);Amor Asteroid;57800;2.154;0.4651;226.889;3.532.163;648.649;2.546.773;11.522;3.16;3.16;0.1677;13;22.2
(2014 WE6);Aten Asteroid;57800;0.9693;0.1361;0.3391;2.514.661;525.629;224.101;0.8374;1.1;0.95;0.0002;4;30.4
(2014 WF6);Apollo Asteroid;57800;15.645;0.5833;135.167;924.804;2.301.554;817.969;0.652;2.48;1.96;0.0067;12;24.4
(2014 WG6);Amor Asteroid;57800;1.335;0.2141;10.74;561.021;547.929;1.288.275;10.492;1.62;1.54;0.1209;6;25.2
(2014 WH6);Amor Asteroid;57800;27.033;0.6138;139.983;203.667;544.637;1.781.569;10.439;4.36;4.44;0.0743;6;24.8
(2014 WJ6);Apollo Asteroid;57800;23.431;0.6427;55.825;1.283.855;2.326.227;2.351.805;0.8372;3.85;3.59;0.0013;3;27.1
(2014 WL6);Apollo Asteroid;57800;22.629;0.6344;135.074;688.992;74.613;2.152.788;0.8273;3.7;3.4;0.0523;27;20
(2014 WR6);Apollo Asteroid;57800;15.618;0.3539;9.518;275.119;568.042;407.799;1.009;2.11;1.95;0.0446;4;25.3
(2014 WC7);Amor Asteroid;57800;18.212;0.4102;357.565;2.263.923;467.481;632.294;10.741;2.57;2.46;0.1582;4;18.8
(2014 WD7);Apollo Asteroid (Hazard);57800;22.582;0.7518;23.066;3.085.495;2.189.731;2.164.329;0.5604;3.96;3.39;0.0246;13;21.8
(2014 WE7);Apollo Asteroid;56980;24.491;0.5896;397.328;2.235.585;2.315.541;3.512.119;10.051;3.89;3.83;0.119;3;22.9
